name,type,district
Abundance Limited,Local,Machinga
Action For Rural Development,Local,Nsanje
Alleluya Care Centre,International,Mangochi
AMECA Healthcare Africa Ltd,Local,Blantyre
AN NASIHAH Trust,Local,Lilongwe
AN-NUR Charity Foundation,Local,Lilongwe
ASNEP Global,Local,Blantyre
Able Foundation,Local,Lilongwe
"Access Health Africa, INC",International,Lilongwe
Access Trust,Local,Lilongwe
Action Ministries Trust,Local,Ntcheu
Action for progress,Local,Lilongwe
Affordable Solar for Villagers,Local,Blantyre
Afriana foundation,Local,Lilongwe
Africa For Christ Missions,International,Lilongwe
Africa Inspire Foundation,Local,Lilongwe
African Aid Trust,Local,Mwanza
African Human Trust,Local,Blantyre
African Institute of Corporate Citizenship,Local,Lilongwe
African Relief Trust,Local,Blantyre
African Vision Malawi,International,Lilongwe
Against All Odds Still Standing,International,Lilongwe
Ahava Ministries,Local,Chikhwawa
Ahlus Sunnah Foundation,Local,Lilongwe
Aid International Trust,International,Blantyre
Al Wesal Organization,Local,Salima
Al-Falah Charitable Trust,Local,Zomba
Al-haqq Islamic Trust,Local,Blantyre
Alimahomed Hassam Trust,Local,Mangochi
Alliance Development Africa Foundation Limited,Local,Blantyre
Amitofo Care Centre,International,Blantyre
Amitofo Care Centre Lilongwe,Local,Lilongwe
Angsoma Development Commission,Local,Blantyre
Aquaid Lifeline Malawi,Local,Blantyre
Assemblies of God Care,Local,Lilongwe
Association of Progressive Women,Local,Mwanza
Association of Sunni Madrassahs,Local,Lilongwe
BASEflow,Local,Blantyre
BOTH ENDS BELIEVING,International,Lilongwe
BRIDGE ACADEMY,Local,Lilongwe
Bambino Foundation,Local,Lilongwe
Banja La Mtsogolo,Local,Lilongwe
Basic Services Development Agency,Local,Lilongwe
Baylor College of Medicine Children’s Foundation-Malawi,International,Lilongwe
Better World,International,Blantyre
Bhubesi Pride Foundation,Local,Lilongwe
Bilal Trust,Local,Blantyre
Blue Earth institution,Local,Karonga
CARMA,Local,Nkhatabay
CARVE-Africa,Local,Lilongwe
Community-Based Transformative Actions Organisation,Local,Mangochi
CORPS Africa,Local,Lilongwe
Campaign for Health Education Sanitation and Hygiene,Local,Blantyre
Canadian Physician for Aid and Relief-Malawi,International,Lilongwe
Cape Maclear Learning and Development,International,Mangochi
Catholic Relief services,International,Lilongwe
Center for Adolescent Girls and Young Women Initiatives,Local,Lilongwe
Centre for Arts Education and Development,Local,Lilongwe
Centre for Community Empowerment Initiatives,Local,Mzuzu
Centre for Community Organisation and Development,Local,Lilongwe
Centre for Excellence and Integrity in Education,Local,Mzuzu
Centre for Humanity and Sustainable Development (CHUSDE),Local,Kasungu
Centre for Multiparty democracy,Local,Lilongwe
Centre for Social Accountability and Transparency,Local,Lilongwe
